reviewer_name,review_title,review
deepak mishra,Display sharpness not good,"Urgent: A14 5G Display Quality Concerns Compared to Competitor's Device

Dear Samsung Customer Support,

I hope this message reaches you promptly. I am writing to express my dissatisfaction with the display quality of my recently purchased Samsung A14 5G smartphone. As a dedicated Samsung user, it pains me to report that the display on my A14 5G does not meet the expected standards, especially when compared to a competitor's device, the Redmi 12C.

Upon extensive testing, I have observed that the A14 5G's display fails to produce sharp images, notably when streaming YouTube videos. Surprisingly, the Redmi 12C, a device from a different brand, consistently delivers a crisper and more vibrant visual experience.

I have ensured that all software and applications are up to date on my Samsung device, and I've taken various measures to optimize the display settings. However, the disparity in image sharpness remains pronounced, and this is a cause for concern.

As a loyal Samsung cus"
ABDUSSAMAD N.,Not a bad but not excellent,Samsung mobiles always good. There is no issue but sometimes some items are not upto the mark set by the company. Overall say Good.
Rakesh Kumar Sharma,Good,Good
atul,Noch,Noch bahut jyada he.
Treet,See whether you guys got the broken crown,"Nice product ,but when i exanchanged the product i got broken crown. The crown cwas fallen down when i unboxed the product then we fixed it then too it is falling down. The crown was before i unbox the product"
Mobile number wrong i need correct mobile number to add the name and nimber on the t-shirt,good,good
Kali,Not worth,Not worth
GunaSekar,Not bad,"Battery drain problem
Display brightness low"
Lavanya,Value for money,Purchased on August mobile was good in all areas except battery backup you need to charge every 12 to 14hrs
chhadma,Best at the budget range,Worth it .. in this price range.. go for it
Amazon Customer,Nothing,Nothing
krishnamoorthy.v,Charging problem,I am facing charging issue getting to late for fully charging and also charge decrease quickly
sudhir,Value for money,Samsung never disappoints when one is a frequent user of Chinese brands. All data leakages and spams have stopped to Some extent. So far after 5 months of purchase am happy.
Hjsh,Good phone,Nice phone in this price range.
Amazon Customer,Charger/adapter,Must be provided charger/adapter
sreebha,touch is not working and handset got struck,"I am very much disappointed with this samsung a14 handset. In the first use it self i felt some problem in touch. Some time the touch is normal but some time i need to touch two three times with more pressure. As i started using the phone i didnt want to return so i took it as minor issue. I have already spend money for the cover, screen guard charge etc. But Yesterday evening (5th March 2024) exactly one month after the purchase of this phone it got struck and touch is not at all working. I couldn't even switch it off. When i long press on right button the screen will show switch off, restart options but as touch is not working can't select the option. The shorts which was playing, it was continuously playing. Message alert was also shows. What will i do?. Please replace with a new working handset."
Vipin,Not customer friendly,"1. Basic stuff not provided in the pack.
- no charger nor cable
- no screen guard
- no basic cover
2. Seting up and transfering from ur previous Android to samsung Android phone is a task.
Not at all user friendly. Makes u download their app.. And it's a time consuming process

Had brought it for my mom. Had to struggle setting it up. Good I was there or else it wud be a task for some one non tech friendly.

Wud provide usage comment after some Months."
Alex John Koshy,"Good phone, a bit pricey","Good phone, but battery drains quickly"
Sherin,Touch is not good,Touch is not proper
Praveen Kumar Dhanapal,Phone is good.,I liked the phone.
Placeholder,Ordinary,Touchscreen is not always responsive.Slow responce to touch .
"Phone was gud for usage ,delivery was in apt time ,product quality was good and convient for usage",Quality of mobile,Everything is fine.it was in Good quality camera is good and as it is 5g Vedio download is fast without buffer.
Mohit malik,Best quality,This product is very good and very fast delivery
Rajat choudhary,Waste of money,Screen touch not working properly
Manish Kumar Aditya,Fine phone with amazing battery but one major issue,Fine phone with really good camera and support of software. It's battery is a monster even with a heavy usage it does not drain much. Nice looks and have good weigh distribution. It's LCD screen but really nice color. Good network bandwidth. The only main issue with this phone is that heating issues. Even with normal web browsing the phone heats so much. I can't image how much it will when I play a game.
Placeholder,Good product,Nice
Pragya paramita jena,Nice,Nice phone
A. N. P,Not good as way it was advertise.,"It's almost one month since I'm using the phone, Here is what I found about the phone.
Pros:
- 5G phone with price range good.
- Picture quality great.
- Android OS update for

Cons:
- Battery life is not good. 14/13 hours max,
- Fast charging cable with received in box that's working properly, when I connect with other USB cable charging is very fast.
- Screen brightness adjustment takes extra time to auto adjust
- I have 64 GB version, I have only used 28GB and it's getting slower, when open the phone take while to open. Opening phone book takes 12/14 seconds.
- Also Samsung remove Secure Folder feature.

I don't recommended this phone.

Thanks, Enjoy shopping :)"
Manohar A.,Good using for last 2?years,No issues
Vishwajeet T.,very good phone in this price,"its one week i am using this phone. Its fast and runs all apps smooth. but the battery life is not as it is being claimed .
Claim is 48 hrs but actually you get only 24 hrs . its value for money in this price . Good phone"
Ajay shukla,Good,Good
Rabin saha,Phone packaging is poor quality,Very good
,Totaly wastage of money,Sabse badi kami battery charging me 2:20 hours ke samay lagta hai...fast charging ek fraud hai...battery backup esa hai ki ek din me 2 baar charge karni parti hai...
Placeholder,The phone becomes hot very soon giving headache,Phone becomes hot very soon giving headache
Vandana Aajjay Mohitey,Battery Issue,Drains Battery fast
