reviewer_name,review_title,review
Durgasivatejaachanta,I think it's not worth for 1800 rupees,"The sound quality is amazing, means when you listening songs or movies or something you feel like clear punch sound, but It won't getting bass, so, when your intention is to watch some action movies or something you will get clear sound with excellent punching, but at the same time uou feel like something is missing i.e. Bass.

And I don't know about remaining boat earpods weather they are also same like this or not.

Calling
To be honest, The calling experience with these earpods was little bit bad, means opposite person getting some disturbance or some breakage at my voice,

Comming to Active Noise Cancelation for calling.
When I try this feature, it canceled my voice also along with the disturbance, due to this opposite is can't hear me properly.

In one line calling experience is not good for me.

Fitting in the ear : Super

Touch Controls :
When we are trying to talking out the pod from ear, sometimes it automatically changing the mode or pause or play the song... May it is because of that stem design.

NOTE/TIP : Don't switch the modes always.

In simple words, it gives top notch sound quality with little bass."
Amardeep kumar,Boat Airdopes 141 product I received it is ok for me,"Actually, There was some technical problems so now it is resolve it my self. I don't wat to return and replace this item it is ok for me (Boat Airdopes 141)"
,Amazing product,I am using this since last 1 and half year . Trust me this is the best thing you can find . I love this product .
Lavanya,Quality is good,What I liked the most is that the design and weight of this piece and even for the calls.what I dislike is the ((bass)) there isn’t a maximum bass that what I’ve expected 🥲
Preetham,Good,I think I will gate new buds but they have scratches product is good they are already used by others
Yash,Good One,Batter backup is next level🤩
Ahmad,Superb,Battery voice and noise cancellation excellent
Mohammad mohiuddin,Good product,Sound is good. touch call end stop function is nice
DEEPAK G,BRAND NAME,"Product did not has any brand name ""boAt""
Don't know if it is some cheap Chinese item."
Rohit Kathroj,not statified as if i expected quality sound,"nice product based price , voice not clear while talking ,bass quality low , its a good product"
Ashokgoud,Good,Decent sond quality
,Best Sound Quality & Battery Back-up,
Mohammed,Boat 141,"Nothing Extraordinary Product, Bass could have been better..."
,Must buy product,While calling only it gives problem
Placeholder,Loudness,Loudness is very disappointed over all bass and vocles is good 👍
Zishan Peerzade,Awesome,Worth this amount
Ayush Kumar,Good,Good
Prasanth,Budget friendly,Good sound for the budget
Padmini,Media,Nice to use but ear dard karne lagta hai
Dibish Joseph,Good product,Vary very good Airpod
,Good,Satisfy with this product
urk,Problems,"There are little problems with this item, sometime touch are not working well, music are not play well when phone is in my pocket, if any how my hand covers the mobile the music start lagging.otherwise the quality of product is very good. Everything is fine except this little 🤏 problems."
Akash,Boat airdopes,Good with great sound
Placeholder,Value for money.,Defnitely value for money.
Rahul Tomar,Product good,Product good
Soleman Ali,Good for these price range,
,Good backup,
sagar jejurkar,Sound is best,Good product
,Product review,Not bad
